Time Stamp, Pressure [Pa], System State, Alarm State
Thursday 07-05-2020 01:59:14 CEST +0200,9120281,7,0
Thursday 07-05-2020 01:59:14 CEST +0200,9119097,7,0
Thursday 07-05-2020 01:59:14 CEST +0200,9120266,7,0
Thursday 07-05-2020 01:59:15 CEST +0200,9119630,7,0
Thursday 07-05-2020 01:59:15 CEST +0200,9118556,7,0
Thursday 07-05-2020 01:59:15 CEST +0200,9119597,7,0
Thursday 07-05-2020 01:59:15 CEST +0200,9120073,7,0
Thursday 07-05-2020 01:59:16 CEST +0200,9119779,7,0
Thursday 07-05-2020 01:59:16 CEST +0200,9119710,7,0
Thursday 07-05-2020 01:59:16 CEST +0200,9119161,7,0
Thursday 07-05-2020 01:59:16 CEST +0200,9120182,7,0
Thursday 07-05-2020 01:59:17 CEST +0200,9119159,7,0
Thursday 07-05-2020 01:59:17 CEST +0200,9118178,7,0
Thursday 07-05-2020 01:59:17 CEST +0200,9117285,7,0
Thursday 07-05-2020 01:59:17 CEST +0200,9116707,7,0
Thursday 07-05-2020 01:59:18 CEST +0200,9117716,7,0
Thursday 07-05-2020 01:59:18 CEST +0200,9118160,7,0
Thursday 07-05-2020 01:59:18 CEST +0200,9119227,7,0
Thursday 07-05-2020 01:59:18 CEST +0200,9119294,7,0
Thursday 07-05-2020 01:59:19 CEST +0200,9118563,7,0
Thursday 07-05-2020 01:59:19 CEST +0200,9117932,7,0
Thursday 07-05-2020 01:59:19 CEST +0200,9118943,7,0
Thursday 07-05-2020 01:59:19 CEST +0200,9118335,7,0
Thursday 07-05-2020 01:59:20 CEST +0200,9118278,7,0
Thursday 07-05-2020 01:59:20 CEST +0200,9117154,7,0
Thursday 07-05-2020 01:59:20 CEST +0200,9116928,7,0
Thursday 07-05-2020 01:59:20 CEST +0200,9117277,7,0
Thursday 07-05-2020 01:59:21 CEST +0200,9117309,7,0
Thursday 07-05-2020 01:59:21 CEST +0200,9117784,7,0
Thursday 07-05-2020 01:59:21 CEST +0200,9117878,7,0
Thursday 07-05-2020 01:59:21 CEST +0200,9117757,7,0
Thursday 07-05-2020 01:59:22 CEST +0200,9118062,7,0
Thursday 07-05-2020 01:59:22 CEST +0200,9118172,7,0
Thursday 07-05-2020 01:59:22 CEST +0200,9118019,7,0
Thursday 07-05-2020 01:59:22 CEST +0200,9118452,7,0
Thursday 07-05-2020 01:59:23 CEST +0200,9118252,7,0
Thursday 07-05-2020 01:59:23 CEST +0200,9117503,7,0
Thursday 07-05-2020 01:59:23 CEST +0200,9117211,7,0
Thursday 07-05-2020 01:59:23 CEST +0200,9117918,7,0
Thursday 07-05-2020 01:59:24 CEST +0200,9118301,7,0
Thursday 07-05-2020 01:59:24 CEST +0200,9118661,7,0
Thursday 07-05-2020 01:59:24 CEST +0200,9118752,7,0
Thursday 07-05-2020 01:59:24 CEST +0200,9118876,7,0
Thursday 07-05-2020 01:59:25 CEST +0200,9119019,7,0
Thursday 07-05-2020 01:59:25 CEST +0200,9119417,7,0
Thursday 07-05-2020 01:59:25 CEST +0200,9120163,7,0
Thursday 07-05-2020 01:59:25 CEST +0200,9120115,7,0
Thursday 07-05-2020 01:59:26 CEST +0200,9119756,7,0
Thursday 07-05-2020 01:59:26 CEST +0200,9120369,7,0
Thursday 07-05-2020 01:59:26 CEST +0200,9121152,7,0
Thursday 07-05-2020 01:59:26 CEST +0200,9120826,7,0
Thursday 07-05-2020 01:59:27 CEST +0200,9121572,7,0
Thursday 07-05-2020 01:59:27 CEST +0200,9122166,7,0
Thursday 07-05-2020 01:59:27 CEST +0200,9122432,7,0
Thursday 07-05-2020 01:59:27 CEST +0200,9121484,7,0
Thursday 07-05-2020 01:59:28 CEST +0200,9121718,7,0
Thursday 07-05-2020 01:59:28 CEST +0200,9122523,7,0
Thursday 07-05-2020 01:59:28 CEST +0200,9122688,7,0
Thursday 07-05-2020 01:59:28 CEST +0200,9121753,7,0
Thursday 07-05-2020 01:59:29 CEST +0200,9121396,7,0
Thursday 07-05-2020 01:59:29 CEST +0200,9120454,7,0
Thursday 07-05-2020 01:59:29 CEST +0200,9120163,7,0
Thursday 07-05-2020 01:59:29 CEST +0200,9121311,7,0
Thursday 07-05-2020 01:59:30 CEST +0200,9121244,7,0
Thursday 07-05-2020 01:59:30 CEST +0200,9121564,7,0
Thursday 07-05-2020 01:59:30 CEST +0200,9121508,7,0
Thursday 07-05-2020 01:59:30 CEST +0200,9122441,7,0
Thursday 07-05-2020 01:59:31 CEST +0200,9123213,7,0
Thursday 07-05-2020 01:59:31 CEST +0200,9123629,7,0
Thursday 07-05-2020 01:59:31 CEST +0200,9123632,7,0
Thursday 07-05-2020 01:59:31 CEST +0200,9123586,7,0
Thursday 07-05-2020 01:59:32 CEST +0200,9123161,7,0
Thursday 07-05-2020 01:59:32 CEST +0200,9124019,7,0
Thursday 07-05-2020 01:59:32 CEST +0200,9124861,7,0
Thursday 07-05-2020 01:59:32 CEST +0200,9125344,7,0
Thursday 07-05-2020 01:59:33 CEST +0200,9125399,7,0
Thursday 07-05-2020 01:59:33 CEST +0200,9125786,7,0
Thursday 07-05-2020 01:59:33 CEST +0200,9126985,7,0
Thursday 07-05-2020 01:59:33 CEST +0200,9127446,7,0
Thursday 07-05-2020 01:59:34 CEST +0200,9126809,7,0
Thursday 07-05-2020 01:59:34 CEST +0200,9127590,7,0
Thursday 07-05-2020 01:59:34 CEST +0200,9126524,7,0
Thursday 07-05-2020 01:59:34 CEST +0200,9127397,7,0
Thursday 07-05-2020 01:59:35 CEST +0200,9127135,7,0
Thursday 07-05-2020 01:59:35 CEST +0200,9127100,7,0
Thursday 07-05-2020 01:59:35 CEST +0200,9128225,7,0
Thursday 07-05-2020 01:59:35 CEST +0200,9129397,7,0
Thursday 07-05-2020 01:59:36 CEST +0200,9128966,7,0
Thursday 07-05-2020 01:59:36 CEST +0200,9128619,7,0
Thursday 07-05-2020 01:59:36 CEST +0200,9129621,7,0
Thursday 07-05-2020 01:59:36 CEST +0200,9130033,7,0
Thursday 07-05-2020 01:59:37 CEST +0200,9129945,7,0
Thursday 07-05-2020 01:59:37 CEST +0200,9129019,7,0
Thursday 07-05-2020 01:59:37 CEST +0200,9128942,7,0
Thursday 07-05-2020 01:59:37 CEST +0200,9129551,7,0
Thursday 07-05-2020 01:59:38 CEST +0200,9130145,7,0
Thursday 07-05-2020 01:59:38 CEST +0200,9131212,7,0
Thursday 07-05-2020 01:59:38 CEST +0200,9131117,7,0
Thursday 07-05-2020 01:59:38 CEST +0200,9131282,7,0
Thursday 07-05-2020 01:59:39 CEST +0200,9131564,7,0
Thursday 07-05-2020 01:59:39 CEST +0200,9132237,7,0
Thursday 07-05-2020 01:59:39 CEST +0200,9133120,7,0
Thursday 07-05-2020 01:59:39 CEST +0200,9133742,7,0
Thursday 07-05-2020 01:59:40 CEST +0200,9134072,7,0
Thursday 07-05-2020 01:59:40 CEST +0200,9134596,7,0
Thursday 07-05-2020 01:59:40 CEST +0200,9134064,7,0
Thursday 07-05-2020 01:59:40 CEST +0200,9133249,7,0
Thursday 07-05-2020 01:59:41 CEST +0200,9132524,7,0
Thursday 07-05-2020 01:59:41 CEST +0200,9131990,7,0
Thursday 07-05-2020 01:59:41 CEST +0200,9132836,7,0
Thursday 07-05-2020 01:59:41 CEST +0200,9132238,7,0
Thursday 07-05-2020 01:59:42 CEST +0200,9133249,7,0
Thursday 07-05-2020 01:59:42 CEST +0200,9133793,7,0
Thursday 07-05-2020 01:59:42 CEST +0200,9132868,7,0
Thursday 07-05-2020 01:59:42 CEST +0200,9132417,7,0
Thursday 07-05-2020 01:59:43 CEST +0200,9131725,7,0
Thursday 07-05-2020 01:59:43 CEST +0200,9132689,7,0
Thursday 07-05-2020 01:59:43 CEST +0200,9131773,7,0
Thursday 07-05-2020 01:59:43 CEST +0200,9131414,7,0
Thursday 07-05-2020 01:59:44 CEST +0200,9130831,7,0
Thursday 07-05-2020 01:59:44 CEST +0200,9131681,7,0
Thursday 07-05-2020 01:59:44 CEST +0200,9130533,7,0
Thursday 07-05-2020 01:59:44 CEST +0200,9130626,7,0
Thursday 07-05-2020 01:59:45 CEST +0200,9131750,7,0
Thursday 07-05-2020 01:59:45 CEST +0200,9131289,7,0
Thursday 07-05-2020 01:59:45 CEST +0200,9130354,7,0
Thursday 07-05-2020 01:59:45 CEST +0200,9130872,7,0
Thursday 07-05-2020 01:59:46 CEST +0200,9129841,7,0
Thursday 07-05-2020 01:59:46 CEST +0200,9130011,7,0
Thursday 07-05-2020 01:59:46 CEST +0200,9129057,7,0
Thursday 07-05-2020 01:59:46 CEST +0200,9129073,7,0
Thursday 07-05-2020 01:59:47 CEST +0200,9128715,7,0
Thursday 07-05-2020 01:59:47 CEST +0200,9129409,7,0
Thursday 07-05-2020 01:59:47 CEST +0200,9128410,7,0
Thursday 07-05-2020 01:59:47 CEST +0200,9129583,7,0
Thursday 07-05-2020 01:59:48 CEST +0200,9129164,7,0
Thursday 07-05-2020 01:59:48 CEST +0200,9128833,7,0
Thursday 07-05-2020 01:59:48 CEST +0200,9129955,7,0
Thursday 07-05-2020 01:59:48 CEST +0200,9129575,7,0
Thursday 07-05-2020 01:59:49 CEST +0200,9129910,7,0
Thursday 07-05-2020 01:59:49 CEST +0200,9130241,7,0
Thursday 07-05-2020 01:59:49 CEST +0200,9130464,7,0
Thursday 07-05-2020 01:59:49 CEST +0200,9130609,7,0
Thursday 07-05-2020 01:59:50 CEST +0200,9130283,7,0
Thursday 07-05-2020 01:59:50 CEST +0200,9130781,7,0
Thursday 07-05-2020 01:59:50 CEST +0200,9131239,7,0
Thursday 07-05-2020 01:59:50 CEST +0200,9130986,7,0
Thursday 07-05-2020 01:59:51 CEST +0200,9130811,7,0
Thursday 07-05-2020 01:59:51 CEST +0200,9131118,7,0
Thursday 07-05-2020 01:59:51 CEST +0200,9131706,7,0
Thursday 07-05-2020 01:59:51 CEST +0200,9131712,7,0
Thursday 07-05-2020 01:59:52 CEST +0200,9131668,7,0
Thursday 07-05-2020 01:59:52 CEST +0200,9131873,7,0
Thursday 07-05-2020 01:59:52 CEST +0200,9130771,7,0
Thursday 07-05-2020 01:59:52 CEST +0200,9130215,7,0
Thursday 07-05-2020 01:59:53 CEST +0200,9130723,7,0
Thursday 07-05-2020 01:59:53 CEST +0200,9129886,7,0
Thursday 07-05-2020 01:59:53 CEST +0200,9130612,7,0
Thursday 07-05-2020 01:59:53 CEST +0200,9131290,7,0
Thursday 07-05-2020 01:59:54 CEST +0200,9131824,7,0
Thursday 07-05-2020 01:59:54 CEST +0200,9132796,7,0
Thursday 07-05-2020 01:59:54 CEST +0200,9132289,7,0
Thursday 07-05-2020 01:59:54 CEST +0200,9133229,7,0
Thursday 07-05-2020 01:59:55 CEST +0200,9133258,7,0
Thursday 07-05-2020 01:59:55 CEST +0200,9132952,7,0
Thursday 07-05-2020 01:59:55 CEST +0200,9133864,7,0
Thursday 07-05-2020 01:59:55 CEST +0200,9134675,7,0
Thursday 07-05-2020 01:59:56 CEST +0200,9134802,7,0
Thursday 07-05-2020 01:59:56 CEST +0200,9135199,7,0
Thursday 07-05-2020 01:59:56 CEST +0200,9134429,7,0
Thursday 07-05-2020 01:59:56 CEST +0200,9133690,7,0
Thursday 07-05-2020 01:59:57 CEST +0200,9133217,7,0
